code,Age,Sexe,indigène,problèmes de santé,le travail à la maison,préscolaire,Travail,interne / externe,Qualification de la mère, Qualification Du père,Profession de la mère,Profession du père,Divorcé,Mort,Revenu familial,aide aux devoirs,Specialté,Nombre de répitition,Score primaire,Score collégial,Score actuel,score en mathématiques,score en langue arabe,score en première langue,Public / Privé,Zone,Nombre d'enseignants,Electricité,Eau,pc,Livres,État civil,Origine,motivation,Style d'apprentissage,Satisfaction du cours,انقطع | مثعثر دراسيا|جيد|
14,6,F,non,Non,non,non,non,interne,universitaire,secondaire,enseignante,enseignant,oui,non,< 3000 MAD,oui,autre,3,5.65,5.31,6.63,7.31,10.39,15.62,Privé,rural,1,oui,oui,non,non,célibataire,rural,non,Visuel,non,جيد
15,6,M,oui,psychique,non,non,oui,externe,universitaire,universitaire,enseignante,enseignant,non,oui,> 6000 MAD,non,scientifique,2,8.0,18.0,9.38,11.0,15.35,7.11,Privé,urbain,4,oui,oui,oui,non,marié,urbain,non,Visuel,non,جيد
16,12,F,non,psychique,non,oui,oui,externe,universitaire,universitaire,médecin,autre,oui,oui,> 6000 MAD,oui,autre,2,7.49,8.15,10.11,10.41,8.79,13.51,Public,urbain,10,oui,oui,oui,oui,marié,urbain,non,Normal,oui,انقطعت
17,15,M,non,Non,oui,non,oui,externe,secondaire,non,médecin,autre,non,oui,3000-6000 MAD,non,autre,3,5.57,7.26,16.49,10.33,14.56,8.52,Privé,rural,6,oui,oui,oui,non,marié,rural,oui,Normal,partiellement,انقطعت
18,15,F,non,psychique,non,oui,non,externe,primaire,non,autre,enseignant,oui,non,< 3000 MAD,non,littéraire,0,3.63,9.39,8.81,9.44,5.14,12.7,Public,urbain,4,oui,oui,oui,oui,célibataire,urbain,oui,Kinesthésique,partiellement,مثعثر دراسيا
19,12,M,non,Non,non,oui,non,interne,non,primaire,autre,autre,non,oui,< 3000 MAD,oui,autre,3,3.84,15.05,7.58,18.0,5.57,9.68,Privé,urbain,9,oui,oui,oui,oui,célibataire,urbain,non,Visuel,partiellement,جيد
20,10,M,oui,physique,non,non,oui,externe,secondaire,non,enseignante,médecin,oui,non,> 6000 MAD,oui,littéraire,0,4.68,14.49,4.35,12.7,16.28,9.2,Public,rural,7,oui,oui,non,oui,célibataire,rural,non,Auditif,partiellement,انقطعت
21,15,M,oui,Non,oui,non,oui,externe,secondaire,secondaire,médecin,autre,oui,oui,3000-6000 MAD,non,autre,1,7.21,11.19,8.67,18.0,13.32,7.67,Privé,urbain,2,oui,oui,oui,oui,marié,urbain,non,Auditif,oui,انقطعت
22,18,M,non,psychique,non,non,non,externe,universitaire,primaire,ménagère,ouvrier,non,oui,> 6000 MAD,oui,autre,1,7.96,9.29,10.47,8.5,11.21,14.25,Public,rural,2,oui,oui,non,oui,marié,rural,non,Visuel,oui,جيد
23,9,M,non,psychique,oui,oui,oui,interne,non,universitaire,ménagère,ouvrier,oui,oui,3000-6000 MAD,non,scientifique,3,8.0,14.09,9.29,8.9,17.83,16.12,Privé,rural,8,oui,oui,non,oui,célibataire,rural,oui,Kinesthésique,non,جيد
24,12,M,oui,psychique,non,oui,oui,externe,primaire,primaire,ménagère,autre,oui,oui,< 3000 MAD,oui,scientifique,2,4.85,4.74,7.62,17.28,13.51,6.75,Public,urbain,9,oui,oui,non,oui,marié,urbain,non,Auditif,non,جيد
25,16,M,oui,physique,non,non,non,interne,primaire,non,enseignante,ouvrier,non,non,< 3000 MAD,oui,autre,2,6.19,13.29,11.37,9.54,12.38,16.65,Public,rural,3,oui,oui,non,non,marié,rural,non,Auditif,oui,جيد
26,16,M,non,Non,oui,oui,oui,interne,primaire,universitaire,autre,autre,non,oui,< 3000 MAD,non,littéraire,1,3.52,13.09,7.41,8.41,5.06,6.91,Public,urbain,5,oui,oui,non,oui,célibataire,urbain,non,Auditif,oui,جيد
27,16,F,oui,Non,oui,non,oui,interne,non,non,enseignante,enseignant,oui,non,3000-6000 MAD,oui,scientifique,2,4.68,12.64,17.93,6.87,5.16,14.9,Public,urbain,10,oui,oui,non,oui,marié,urbain,non,Auditif,non,مثعثر دراسيا
28,6,M,non,physique,non,oui,oui,interne,non,secondaire,ménagère,médecin,oui,non,< 3000 MAD,oui,scientifique,1,4.31,15.88,9.02,11.23,17.89,17.34,Privé,rural,7,oui,oui,oui,non,marié,rural,oui,Visuel,partiellement,جيد
29,10,M,oui,physique,non,non,oui,externe,primaire,non,enseignante,ouvrier,oui,oui,< 3000 MAD,non,scientifique,1,6.8,16.48,5.67,18.0,14.92,11.2,Privé,urbain,3,oui,oui,oui,oui,marié,urbain,oui,Auditif,partiellement,جيد
30,8,M,non,psychique,oui,non,oui,externe,secondaire,universitaire,autre,médecin,oui,oui,< 3000 MAD,non,autre,3,5.32,18.0,5.48,10.17,5.13,9.34,Public,urbain,5,oui,oui,oui,oui,marié,urbain,oui,Normal,non,جيد
31,8,M,non,psychique,non,oui,non,externe,primaire,primaire,médecin,ouvrier,non,oui,> 6000 MAD,oui,littéraire,0,4.45,5.86,14.37,12.29,7.35,5.42,Public,rural,2,oui,oui,non,oui,célibataire,rural,oui,Normal,partiellement,انقطعت
32,18,F,non,physique,oui,oui,oui,interne,primaire,primaire,médecin,médecin,oui,oui,3000-6000 MAD,non,scientifique,0,8.0,8.3,18.0,15.72,18.0,10.07,Privé,rural,5,oui,oui,non,oui,marié,rural,non,Kinesthésique,partiellement,جيد
33,7,F,oui,Non,oui,oui,non,externe,primaire,non,ménagère,médecin,oui,non,< 3000 MAD,non,autre,0,5.13,15.34,6.52,8.31,7.57,7.54,Privé,rural,1,oui,oui,non,oui,célibataire,rural,non,Visuel,oui,مثعثر دراسيا
34,12,F,non,psychique,oui,oui,non,interne,secondaire,non,autre,ouvrier,oui,oui,3000-6000 MAD,oui,littéraire,3,7.69,17.88,5.52,10.3,10.68,14.15,Public,urbain,8,oui,oui,non,oui,marié,urbain,oui,Visuel,oui,جيد
35,16,F,oui,psychique,oui,oui,oui,externe,secondaire,secondaire,enseignante,enseignant,oui,non,< 3000 MAD,oui,scientifique,0,4.54,12.12,7.81,7.63,7.12,7.27,Privé,rural,10,oui,oui,non,non,célibataire,rural,non,Normal,partiellement,انقطعت
36,6,F,non,physique,non,oui,oui,interne,universitaire,universitaire,médecin,enseignant,non,non,< 3000 MAD,oui,littéraire,0,8.0,4.82,4.81,16.26,12.12,7.9,Public,rural,2,oui,oui,oui,non,célibataire,rural,non,Auditif,partiellement,انقطعت
37,8,F,non,Non,oui,non,non,externe,primaire,universitaire,ménagère,médecin,non,non,< 3000 MAD,oui,littéraire,2,4.79,17.86,8.75,15.2,18.0,13.39,Privé,urbain,5,oui,oui,non,non,célibataire,urbain,oui,Kinesthésique,partiellement,مثعثر دراسيا
38,13,F,oui,psychique,non,non,non,externe,non,primaire,ménagère,autre,oui,oui,< 3000 MAD,oui,autre,0,4.53,6.85,14.27,16.11,17.88,13.94,Privé,urbain,10,oui,oui,non,non,marié,urbain,oui,Visuel,partiellement,جيد
39,12,M,non,physique,oui,oui,oui,externe,universitaire,primaire,ménagère,autre,non,non,3000-6000 MAD,non,littéraire,0,6.61,10.63,7.31,8.91,17.61,16.54,Public,urbain,7,oui,oui,oui,non,célibataire,urbain,non,Auditif,oui,انقطعت
40,14,M,non,psychique,oui,non,oui,interne,universitaire,universitaire,enseignante,enseignant,oui,non,< 3000 MAD,oui,littéraire,3,6.4,16.47,14.35,12.83,8.11,16.89,Privé,urbain,2,oui,oui,oui,non,marié,urbain,non,Kinesthésique,oui,انقطعت
41,7,F,non,psychique,non,oui,non,externe,non,non,enseignante,médecin,oui,oui,> 6000 MAD,oui,autre,3,7.21,16.23,14.44,8.0,7.77,14.67,Privé,urbain,4,oui,oui,oui,oui,marié,urbain,oui,Kinesthésique,partiellement,جيد
42,6,F,oui,psychique,oui,oui,oui,interne,universitaire,non,enseignante,médecin,oui,non,3000-6000 MAD,oui,autre,1,6.07,17.58,16.61,7.96,9.08,9.25,Privé,rural,4,oui,oui,oui,oui,célibataire,rural,non,Visuel,non,جيد
43,14,M,non,physique,non,non,oui,externe,non,universitaire,ménagère,médecin,oui,oui,< 3000 MAD,non,scientifique,1,7.79,16.48,16.58,13.18,17.34,9.4,Privé,urbain,2,oui,oui,non,non,célibataire,urbain,oui,Visuel,non,مثعثر دراسيا
44,10,M,non,Non,oui,oui,oui,externe,secondaire,universitaire,ménagère,enseignant,non,oui,< 3000 MAD,non,autre,1,3.99,9.05,17.75,13.02,7.47,7.81,Privé,rural,9,oui,oui,non,oui,marié,rural,non,Visuel,non,جيد
45,6,M,non,Non,oui,oui,oui,externe,non,primaire,ménagère,médecin,oui,oui,> 6000 MAD,non,littéraire,3,5.33,10.63,7.18,8.01,10.88,10.53,Public,rural,7,oui,oui,non,non,marié,rural,oui,Auditif,oui,مثعثر دراسيا
46,15,M,non,physique,oui,non,oui,interne,primaire,non,médecin,ouvrier,oui,non,< 3000 MAD,oui,scientifique,3,4.07,5.48,17.55,18.0,11.26,6.34,Privé,rural,7,oui,oui,oui,non,célibataire,rural,non,Normal,non,انقطعت
47,17,M,oui,Non,non,oui,non,interne,secondaire,universitaire,médecin,médecin,oui,non,< 3000 MAD,oui,autre,0,5.36,4.02,15.08,15.82,11.19,9.01,Public,rural,2,oui,oui,non,non,célibataire,rural,non,Auditif,oui,انقطعت
48,16,M,oui,physique,non,non,non,interne,secondaire,primaire,autre,médecin,oui,non,< 3000 MAD,non,autre,1,4.29,13.56,5.69,15.24,7.5,6.13,Privé,rural,2,oui,oui,non,non,marié,rural,non,Normal,oui,جيد
49,17,M,oui,psychique,non,oui,oui,interne,non,non,médecin,médecin,non,oui,> 6000 MAD,oui,autre,2,6.28,18.0,9.14,14.53,7.92,7.35,Public,urbain,4,oui,oui,oui,oui,célibataire,urbain,non,Visuel,partiellement,انقطعت
50,8,F,oui,psychique,oui,oui,non,externe,non,secondaire,autre,autre,non,non,< 3000 MAD,non,littéraire,1,5.21,8.46,13.77,6.42,14.3,18.0,Privé,rural,3,oui,oui,non,non,marié,rural,oui,Visuel,non,انقطعت
51,15,F,oui,physique,non,non,non,interne,universitaire,non,ménagère,autre,non,oui,3000-6000 MAD,oui,autre,2,5.29,14.02,12.25,18.0,12.36,14.19,Privé,urbain,5,oui,oui,non,non,marié,urbain,oui,Auditif,non,انقطعت
52,8,M,oui,physique,non,non,oui,interne,primaire,non,enseignante,médecin,non,oui,< 3000 MAD,oui,littéraire,3,7.76,8.8,15.86,7.24,9.79,5.64,Privé,urbain,4,oui,oui,oui,non,marié,urbain,non,Normal,partiellement,جيد
53,17,F,oui,physique,oui,oui,non,externe,universitaire,primaire,enseignante,autre,oui,non,< 3000 MAD,oui,scientifique,1,4.91,6.65,8.97,17.38,5.55,12.32,Public,rural,2,oui,oui,oui,oui,marié,rural,oui,Visuel,partiellement,انقطعت
54,7,F,non,physique,non,oui,oui,interne,universitaire,non,autre,enseignant,oui,non,> 6000 MAD,non,scientifique,0,7.38,13.7,8.14,4.76,12.73,5.86,Public,urbain,1,oui,oui,non,oui,marié,urbain,non,Visuel,oui,مثعثر دراسيا
55,12,M,non,Non,non,oui,non,interne,non,non,ménagère,enseignant,oui,oui,3000-6000 MAD,oui,scientifique,0,6.11,10.59,10.7,17.6,15.26,6.67,Public,rural,6,oui,oui,non,oui,marié,rural,oui,Visuel,non,انقطعت
56,9,M,oui,psychique,oui,non,oui,interne,primaire,primaire,médecin,autre,non,oui,> 6000 MAD,non,littéraire,2,7.84,11.66,10.68,8.74,10.26,11.2,Privé,rural,1,oui,oui,non,oui,célibataire,rural,oui,Kinesthésique,partiellement,انقطعت
57,18,F,non,Non,oui,non,non,externe,universitaire,primaire,médecin,enseignant,non,oui,> 6000 MAD,oui,autre,1,7.64,14.29,18.0,17.71,8.52,13.63,Public,urbain,8,oui,oui,oui,oui,célibataire,urbain,non,Auditif,oui,مثعثر دراسيا
58,17,F,non,Non,non,oui,oui,externe,universitaire,secondaire,autre,autre,oui,oui,> 6000 MAD,non,scientifique,0,8.0,16.16,7.21,5.34,15.75,16.54,Privé,rural,1,oui,oui,oui,oui,marié,rural,oui,Kinesthésique,partiellement,جيد
59,7,F,non,Non,non,non,non,interne,non,universitaire,ménagère,enseignant,oui,oui,3000-6000 MAD,oui,autre,0,4.34,17.55,5.78,6.74,5.12,15.19,Public,rural,9,oui,oui,oui,non,célibataire,rural,oui,Auditif,non,انقطعت
60,13,M,non,Non,non,oui,non,interne,primaire,non,médecin,enseignant,non,oui,< 3000 MAD,oui,scientifique,3,7.65,5.03,18.0,7.37,8.38,15.39,Privé,rural,10,oui,oui,oui,non,célibataire,rural,non,Kinesthésique,partiellement,مثعثر دراسيا
61,6,M,non,Non,non,non,oui,externe,primaire,primaire,enseignante,autre,oui,oui,> 6000 MAD,non,littéraire,0,3.81,8.35,17.76,5.86,14.95,17.53,Public,rural,1,oui,oui,oui,oui,marié,rural,non,Visuel,oui,جيد
62,15,M,non,psychique,non,non,oui,externe,non,secondaire,enseignante,médecin,oui,non,< 3000 MAD,oui,littéraire,2,6.13,8.07,9.93,6.2,16.76,14.82,Privé,rural,5,oui,oui,oui,non,célibataire,rural,non,Kinesthésique,partiellement,جيد
63,16,F,non,psychique,oui,oui,non,interne,primaire,universitaire,ménagère,ouvrier,non,non,> 6000 MAD,oui,autre,2,7.28,10.42,12.69,5.61,6.09,9.01,Public,rural,5,oui,oui,oui,oui,marié,rural,oui,Visuel,non,جيد
64,15,M,oui,psychique,oui,non,non,interne,secondaire,non,enseignante,enseignant,non,non,< 3000 MAD,oui,littéraire,1,5.92,4.51,6.83,11.19,15.13,18.0,Public,urbain,2,oui,oui,oui,oui,célibataire,urbain,non,Visuel,partiellement,مثعثر دراسيا
65,17,M,non,physique,non,oui,non,interne,universitaire,non,autre,médecin,non,oui,3000-6000 MAD,oui,littéraire,2,6.98,12.48,17.13,17.95,5.94,11.27,Public,urbain,3,oui,oui,non,oui,célibataire,urbain,non,Normal,oui,مثعثر دراسيا
66,12,M,oui,physique,oui,oui,oui,externe,non,non,médecin,ouvrier,oui,non,< 3000 MAD,non,autre,1,4.73,18.0,7.75,7.61,7.68,12.51,Privé,urbain,8,oui,oui,oui,oui,marié,urbain,non,Kinesthésique,oui,انقطعت
67,10,F,non,physique,oui,non,oui,externe,universitaire,non,médecin,ouvrier,non,oui,3000-6000 MAD,non,autre,2,3.96,16.52,6.44,4.6,15.13,15.1,Public,urbain,4,oui,oui,non,non,célibataire,urbain,non,Visuel,partiellement,انقطعت
68,15,M,non,Non,non,non,oui,externe,universitaire,secondaire,ménagère,médecin,non,oui,3000-6000 MAD,non,littéraire,2,7.38,9.03,5.22,15.9,9.03,16.12,Public,urbain,6,oui,oui,non,non,célibataire,urbain,non,Visuel,oui,مثعثر دراسيا
69,6,F,non,psychique,oui,non,non,interne,primaire,universitaire,ménagère,médecin,non,non,< 3000 MAD,non,littéraire,0,6.34,9.79,18.0,14.83,11.84,18.0,Privé,urbain,9,oui,oui,non,oui,marié,urbain,oui,Visuel,oui,مثعثر دراسيا
70,15,M,oui,psychique,oui,non,non,externe,primaire,secondaire,enseignante,médecin,oui,oui,> 6000 MAD,non,littéraire,2,5.43,15.37,10.8,6.37,9.42,11.85,Public,rural,1,oui,oui,non,non,marié,rural,oui,Visuel,non,مثعثر دراسيا
71,17,F,non,Non,non,oui,oui,interne,non,universitaire,ménagère,enseignant,non,oui,< 3000 MAD,non,littéraire,1,3.89,17.07,16.74,15.71,13.48,8.32,Public,rural,7,oui,oui,non,oui,marié,rural,non,Visuel,non,مثعثر دراسيا
72,6,F,non,physique,oui,non,non,interne,universitaire,secondaire,autre,médecin,non,oui,> 6000 MAD,oui,scientifique,3,7.93,10.26,18.0,12.7,12.24,17.29,Privé,rural,1,oui,oui,non,non,marié,rural,non,Normal,partiellement,مثعثر دراسيا
73,15,M,oui,physique,oui,oui,non,externe,secondaire,non,autre,autre,oui,non,3000-6000 MAD,oui,littéraire,2,3.88,8.62,5.93,7.46,9.18,17.39,Privé,rural,7,oui,oui,non,oui,célibataire,rural,oui,Visuel,partiellement,جيد
74,11,F,oui,psychique,oui,oui,oui,interne,secondaire,primaire,ménagère,enseignant,oui,oui,< 3000 MAD,non,scientifique,0,5.68,14.17,12.6,13.4,17.93,18.0,Privé,urbain,10,oui,oui,non,oui,marié,urbain,non,Kinesthésique,non,جيد
75,18,M,oui,Non,non,oui,non,externe,non,primaire,ménagère,médecin,oui,non,< 3000 MAD,non,autre,0,6.25,11.84,17.03,9.36,15.2,15.18,Privé,rural,3,oui,oui,oui,non,célibataire,rural,oui,Visuel,partiellement,مثعثر دراسيا
76,9,M,non,physique,non,non,non,interne,secondaire,non,médecin,médecin,non,non,> 6000 MAD,non,scientifique,1,7.73,16.68,14.73,6.91,5.61,6.92,Public,rural,1,oui,oui,oui,oui,marié,rural,non,Visuel,oui,مثعثر دراسيا
77,10,M,oui,Non,oui,oui,non,externe,universitaire,universitaire,médecin,ouvrier,oui,non,> 6000 MAD,non,scientifique,3,6.59,13.83,9.5,16.31,9.61,12.14,Privé,urbain,7,oui,oui,non,non,célibataire,urbain,non,Kinesthésique,partiellement,انقطعت
78,14,F,non,psychique,oui,non,oui,externe,universitaire,secondaire,ménagère,ouvrier,non,non,3000-6000 MAD,oui,littéraire,1,4.85,6.18,13.77,6.52,14.02,10.46,Privé,urbain,10,oui,oui,non,oui,marié,urbain,non,Kinesthésique,non,انقطعت
79,12,F,oui,Non,non,non,oui,externe,universitaire,non,ménagère,autre,oui,non,3000-6000 MAD,non,scientifique,0,4.1,9.25,7.18,11.45,14.34,11.79,Privé,rural,4,oui,oui,non,non,marié,rural,oui,Normal,non,انقطعت
80,10,M,non,physique,oui,oui,non,interne,primaire,primaire,médecin,médecin,oui,oui,3000-6000 MAD,oui,littéraire,2,4.05,6.77,18.0,8.07,18.0,9.53,Privé,urbain,6,oui,oui,oui,oui,marié,urbain,oui,Auditif,non,مثعثر دراسيا
81,17,M,oui,physique,oui,non,oui,externe,non,primaire,enseignante,enseignant,oui,non,< 3000 MAD,oui,autre,0,7.62,18.0,9.3,7.53,14.66,6.89,Privé,urbain,10,oui,oui,non,oui,marié,urbain,non,Normal,partiellement,انقطعت
82,16,F,oui,psychique,oui,oui,oui,interne,universitaire,universitaire,autre,ouvrier,non,oui,< 3000 MAD,non,scientifique,3,4.73,11.86,14.03,13.9,18.0,8.37,Privé,urbain,10,oui,oui,non,non,célibataire,urbain,non,Normal,oui,جيد
83,13,F,oui,psychique,oui,oui,oui,interne,non,non,médecin,médecin,oui,non,3000-6000 MAD,non,littéraire,3,4.53,8.79,9.13,15.16,12.36,8.04,Privé,urbain,8,oui,oui,oui,oui,célibataire,urbain,non,Auditif,non,مثعثر دراسيا
84,7,F,non,physique,non,oui,oui,interne,universitaire,secondaire,médecin,ouvrier,oui,oui,3000-6000 MAD,non,autre,3,4.39,11.56,11.97,14.51,14.79,18.0,Privé,urbain,1,oui,oui,oui,oui,célibataire,urbain,oui,Visuel,oui,جيد
85,6,M,non,psychique,non,non,non,interne,non,non,ménagère,enseignant,non,non,3000-6000 MAD,oui,scientifique,0,6.78,15.32,13.38,8.3,7.4,18.0,Privé,rural,10,oui,oui,non,oui,marié,rural,oui,Normal,oui,مثعثر دراسيا
86,11,M,non,psychique,non,oui,oui,interne,secondaire,non,autre,autre,non,oui,< 3000 MAD,oui,littéraire,2,3.64,7.53,5.98,16.77,11.7,7.58,Privé,rural,7,oui,oui,oui,non,marié,rural,non,Kinesthésique,oui,جيد
87,10,F,oui,psychique,non,non,oui,externe,non,universitaire,ménagère,enseignant,non,non,< 3000 MAD,non,littéraire,2,7.11,13.39,11.78,12.7,5.7,14.84,Privé,urbain,7,oui,oui,non,non,marié,urbain,non,Normal,oui,جيد
88,17,M,oui,Non,non,oui,non,externe,primaire,primaire,enseignante,enseignant,oui,oui,3000-6000 MAD,oui,littéraire,3,5.88,7.01,18.0,15.76,16.98,12.9,Privé,rural,2,oui,oui,non,oui,célibataire,rural,oui,Normal,non,جيد
89,8,F,non,Non,oui,non,oui,externe,secondaire,universitaire,ménagère,ouvrier,non,oui,< 3000 MAD,non,scientifique,2,4.91,13.52,12.73,8.02,15.21,14.5,Public,rural,10,oui,oui,non,non,marié,rural,oui,Visuel,oui,جيد
90,14,M,oui,physique,oui,oui,oui,interne,universitaire,secondaire,autre,médecin,non,non,3000-6000 MAD,non,littéraire,0,4.63,15.4,17.97,6.08,10.69,9.78,Public,rural,3,oui,oui,oui,oui,marié,rural,oui,Visuel,non,مثعثر دراسيا
91,13,F,oui,physique,oui,non,oui,externe,universitaire,primaire,enseignante,autre,non,oui,< 3000 MAD,oui,littéraire,3,7.02,8.14,14.98,16.85,17.46,11.93,Public,rural,7,oui,oui,oui,oui,célibataire,rural,oui,Kinesthésique,oui,مثعثر دراسيا
92,18,F,oui,psychique,oui,non,non,externe,non,secondaire,ménagère,ouvrier,non,oui,3000-6000 MAD,non,scientifique,2,5.67,13.72,17.98,5.13,17.69,9.95,Privé,rural,9,oui,oui,oui,non,célibataire,rural,non,Kinesthésique,partiellement,انقطعت
93,6,F,non,psychique,oui,non,non,externe,secondaire,non,enseignante,ouvrier,non,oui,< 3000 MAD,oui,autre,3,7.34,15.88,17.53,13.73,8.49,7.14,Privé,rural,4,oui,oui,oui,non,marié,rural,oui,Auditif,non,مثعثر دراسيا
94,17,F,oui,physique,oui,non,non,interne,secondaire,secondaire,enseignante,médecin,oui,oui,< 3000 MAD,non,scientifique,0,3.37,8.27,7.71,16.64,12.04,5.0,Public,urbain,4,oui,oui,non,non,célibataire,urbain,oui,Normal,oui,جيد
95,12,F,non,Non,non,oui,non,externe,secondaire,primaire,autre,autre,non,non,3000-6000 MAD,non,littéraire,2,5.96,16.8,15.14,13.57,9.56,6.51,Public,urbain,6,oui,oui,oui,oui,célibataire,urbain,non,Visuel,oui,مثعثر دراسيا
96,14,F,non,Non,non,oui,non,interne,universitaire,non,enseignante,autre,oui,oui,> 6000 MAD,oui,scientifique,0,5.77,17.37,14.24,17.71,6.5,7.99,Privé,rural,9,oui,oui,oui,non,marié,rural,oui,Auditif,partiellement,مثعثر دراسيا
97,10,F,oui,physique,non,oui,oui,interne,non,non,autre,enseignant,non,oui,3000-6000 MAD,oui,littéraire,0,4.81,10.31,12.33,18.0,17.83,6.26,Privé,rural,5,oui,oui,oui,oui,marié,rural,non,Visuel,oui,جيد
98,18,M,non,psychique,non,oui,oui,interne,primaire,secondaire,médecin,enseignant,non,oui,> 6000 MAD,oui,autre,2,6.39,11.29,18.0,6.57,6.26,15.41,Privé,rural,3,oui,oui,oui,oui,marié,rural,non,Normal,non,انقطعت
99,6,F,oui,physique,non,oui,non,interne,secondaire,primaire,ménagère,ouvrier,non,oui,3000-6000 MAD,non,scientifique,3,8.0,6.01,6.04,15.2,8.85,12.51,Privé,urbain,1,oui,oui,oui,oui,marié,urbain,oui,Kinesthésique,partiellement,جيد
100,16,M,oui,Non,oui,oui,oui,externe,secondaire,non,enseignante,enseignant,non,oui,> 6000 MAD,non,scientifique,1,7.64,7.56,8.66,14.32,13.87,7.3,Privé,urbain,7,oui,oui,oui,oui,célibataire,urbain,oui,Auditif,non,انقطعت
101,17,F,non,psychique,non,non,non,externe,non,universitaire,médecin,autre,oui,non,< 3000 MAD,oui,scientifique,2,7.43,6.4,9.04,9.02,9.72,4.29,Public,rural,10,oui,oui,non,non,célibataire,rural,oui,Visuel,partiellement,مثعثر دراسيا
102,15,F,non,Non,oui,non,oui,externe,non,primaire,autre,enseignant,oui,oui,3000-6000 MAD,oui,autre,2,3.99,13.74,8.76,14.44,14.51,16.25,Public,rural,2,oui,oui,oui,non,célibataire,rural,oui,Auditif,oui,جيد
